seat_id,seat_name,is_available
R01-01,01,True
R01-02,02,True
R01-03,03,True
R01-04,04,True
R01-05,05,True
R01-06,06,True
R01-07,07,True
R01-08,08,True
R01-09,09,True
R01-10,10,True
R01-11,11,True
R01-12,12,True
R01-13,13,True
R01-14,14,True
R01-15,15,True
R01-16,16,True
R01-17,17,True
R01-18,18,True
R01-19,19,True
R01-20,20,True
R01-21,21,True
R01-22,22,True
R01-23,23,True
R01-24,24,True
R01-25,25,True
R01-26,26,True
R01-27,27,True
R01-28,28,True
R01-29,29,True
R01-30,30,True
R01-31,31,True
R01-32,32,True
R01-33,33,False
R01-34,34,False
R01-35,35,False
R01-36,36,False
R01-37,37,False
R01-38,38,False
R01-39,39,False
R01-40,40,False
