seat_id,seat_name,is_available
R05-01,01,True
R05-02,02,True
R05-03,03,True
R05-04,04,True
R05-05,05,True
R05-06,06,True
R05-07,07,True
R05-08,08,True
R05-09,09,True
R05-10,10,True
R05-11,11,True
R05-12,12,True
R05-13,13,True
R05-14,14,True
R05-15,15,True
R05-16,16,True
R05-17,17,True
R05-18,18,True
R05-19,19,True
R05-20,20,True
R05-21,21,True
R05-22,22,True
R05-23,23,True
R05-24,24,True
R05-25,25,True
R05-26,26,True
R05-27,27,True
R05-28,28,True
R05-29,29,True
R05-30,30,True
R05-31,31,True
R05-32,32,True
R05-33,33,True
R05-34,34,True
R05-35,35,True
R05-36,36,True
R05-37,37,True
R05-38,38,True
R05-39,39,True
R05-40,40,True
R05-41,41,False
R05-42,42,False
R05-43,43,False
R05-44,44,False
R05-45,45,False
R05-46,46,False
R05-47,47,False
R05-48,48,False
R05-49,49,False
