seat_id,seat_name,is_available
R04-01,01,True
R04-02,02,True
R04-03,03,True
R04-04,04,True
R04-05,05,True
R04-06,06,True
R04-07,07,True
R04-08,08,True
R04-09,09,True
R04-10,10,True
R04-11,11,True
R04-12,12,True
R04-13,13,True
R04-14,14,True
R04-15,15,True
R04-16,16,True
R04-17,17,True
R04-18,18,True
R04-19,19,True
R04-20,20,True
R04-21,21,True
R04-22,22,True
R04-23,23,True
R04-24,24,True
R04-25,25,True
R04-26,26,True
R04-27,27,True
R04-28,28,True
R04-29,29,True
R04-30,30,True
R04-31,31,True
R04-32,32,True
R04-33,33,True
R04-34,34,True
R04-35,35,True
R04-36,36,True
R04-37,37,True
R04-38,38,True
R04-39,39,True
R04-40,40,True
R04-41,41,False
R04-42,42,False
R04-43,43,False
R04-44,44,False
R04-45,45,False
R04-46,46,False
R04-47,47,False
R04-48,48,False
R04-49,49,False
