seat_id,seat_name,is_available
R03-01,01,True
R03-02,02,True
R03-03,03,True
R03-04,04,True
R03-05,05,True
R03-06,06,True
R03-07,07,True
R03-08,08,True
R03-09,09,True
R03-10,10,True
R03-11,11,True
R03-12,12,True
R03-13,13,True
R03-14,14,True
R03-15,15,True
R03-16,16,True
R03-17,17,True
R03-18,18,True
R03-19,19,True
R03-20,20,True
R03-21,21,True
R03-22,22,True
R03-23,23,True
R03-24,24,True
R03-25,25,True
R03-26,26,True
R03-27,27,True
R03-28,28,True
R03-29,29,True
R03-30,30,True
R03-31,31,True
R03-32,32,True
R03-33,33,False
R03-34,34,False
R03-35,35,False
R03-36,36,False
R03-37,37,False
R03-38,38,False
R03-39,39,False
R03-40,40,False
